Timestamp,BATTERY_HEALTH_COLD,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_LEVEL
1701263676920,-2147483648,-899413,18
1701263677023,-2147483648,-899413,18
1701263677127,-2147483648,-899413,18
1701263677231,-2147483648,-899413,18
1701263677335,-2147483648,-899413,18
1701263677438,-2147483648,-899413,18
1701263677541,-2147483648,-899413,18
1701263677645,-2147483648,-774413,18
1701263677748,-2147483648,-774413,18
1701263677856,-2147483648,-774413,18
1701263677959,-2147483648,-774413,18
1701263678062,-2147483648,-774413,18
1701263678166,-2147483648,-774413,18
1701263678272,-2147483648,-774413,18
1701263678376,-2147483648,-774413,18
1701263678480,-2147483648,-774413,18
1701263678583,-2147483648,-949706,18
1701263678690,-2147483648,-949706,18
1701263678793,-2147483648,-949706,18
1701263678899,-2147483648,-949706,18
1701263679002,-2147483648,-949706,18
1701263679107,-2147483648,-949706,18
1701263679212,-2147483648,-949706,18
1701263679316,-2147483648,-949706,18
1701263679420,-2147483648,-949706,18
1701263679525,-2147483648,-949706,18
1701263679631,-2147483648,-958983,18
1701263679734,-2147483648,-958983,18
1701263679837,-2147483648,-958983,18
1701263679945,-2147483648,-958983,18
1701263680052,-2147483648,-958983,18
1701263680155,-2147483648,-958983,18
1701263680261,-2147483648,-958983,18
1701263680364,-2147483648,-958983,18
1701263680467,-2147483648,-958983,18
1701263680572,-2147483648,-937499,18
1701263680676,-2147483648,-937499,18
1701263680779,-2147483648,-937499,18
1701263680888,-2147483648,-937499,18
1701263680993,-2147483648,-937499,18
1701263681097,-2147483648,-937499,18
1701263681200,-2147483648,-937499,18
1701263681307,-2147483648,-937499,18
1701263681413,-2147483648,-937499,18
1701263681517,-2147483648,-937499,18
1701263681621,-2147483648,-910644,18
1701263681724,-2147483648,-910644,18
1701263681827,-2147483648,-910644,18
1701263681933,-2147483648,-910644,18
1701263682036,-2147483648,-910644,18
1701263682140,-2147483648,-910644,18
1701263682243,-2147483648,-910644,18
1701263682348,-2147483648,-910644,18
1701263682451,-2147483648,-910644,18
1701263682556,-2147483648,-988769,18
1701263682659,-2147483648,-988769,18
1701263682763,-2147483648,-988769,18
1701263682865,-2147483648,-988769,18
1701263682970,-2147483648,-988769,18
1701263683074,-2147483648,-988769,18
1701263683177,-2147483648,-988769,18
1701263683281,-2147483648,-988769,18
1701263683384,-2147483648,-988769,18
1701263683496,-2147483648,-988769,18
1701263683600,-2147483648,-924804,18
1701263683703,-2147483648,-924804,18
1701263683806,-2147483648,-924804,18
1701263683909,-2147483648,-924804,18
1701263684013,-2147483648,-924804,18
1701263684117,-2147483648,-924804,18
1701263684220,-2147483648,-924804,18
1701263684324,-2147483648,-924804,18
1701263684427,-2147483648,-924804,18
1701263684532,-2147483648,-903319,18
1701263684635,-2147483648,-903319,18
1701263684738,-2147483648,-903319,18
1701263684842,-2147483648,-903319,18
